meta,onu,brasil,justificativa,conceitos,indicadores,fonte,data_extracao
9.1,"Desenvolver infraestrutura de qualidade, confiável, sustentável e resiliente, incluindo infraestrutura regional e transfronteiriça, para apoiar o desenvolvimento econômico e o bem-estar humano, com foco no acesso equitativo e a preços acessíveis para todos","Aprimorar o sistema viário do País, com foco em sustentabilidade e segurança no trânsito e transporte, equalizando as desigualdades regionais, promovendo a integração regional e transfronteiriça, na busca de menor custo, para o transporte de passageiros e de cargas, evitando perdas, com maior participação dos modos de alta capacidade como ferroviário, aquaviário e dutoviário, tornando-o acessível e proporcionando bem-estar a todos.","A proposta de adequação da redação da meta procurou, em primeiro lugar, definir os tipos de infraestrutura que deverão ser desenvolvidos. Os indicadores definidos pela ONU para acompanhar a meta indicam que a meta trata da infraestrutura de transporte. Além disso, outros objetivos abordam as demais infraestruturas, como energética e de água e saneamento. Destacou-se na nova redação a importância atribuída pelo país à segurança e à questão das desigualdades regionais e da integração do País, em consonância com as políticas já adotadas pelo Brasil para o sistema viário, além da sustentabilidade e acesso equitativo, já presentes na redação original da ONU. Apesar da abertura da meta, não é possível, neste momento, sua quantificação, porque os estudos com vistas à elaboração de estimativas para 2030 ou anos próximos estão em elaboração pela Empresa de Planejamento e Logística e no âmbito do Plano Nacional de Logística.","Modos de alta capacidade - são os modos ferroviário, aquaviário e dutoviário, que pela economia de escala proporcionam menores custos no transporte de passageiros e de carga. 'Qualidade' - incluiu-se na meta aspectos relacionados à redução de acidentes, à redução das perdas com cargas, e avaliação das estradas feitas pelos órgãos federais. Custo do transporte - parâmetros tarifários/índices de preços para o transporte de passageiros e de carga, ou participação dos gastos em transporte na renda familiar.",9.1.1 - Proporção de população residente em áreas rurais que vive num raio de 2km de acesso a uma estrada transitável em todas as estações do ano 9.1.2 - Passageiros e cargas transportados por modalidade de transporte,https://www.ipea.gov.br/ods/ods9.html,2026-09-17
9.2,"Promover a industrialização inclusiva e sustentável e, até 2030, aumentar significativamente a participação da indústria no emprego e no produto interno bruto, de acordo com as circunstâncias nacionais, e dobrar sua participação nos países de menor desenvolvimento relativo","Até 2030, promover a atividade econômica inclusiva e sustentável e a atividade de alta complexidade tecnológica, com foco na elevação da produtividade, do emprego e do PIB, e com melhora nas condições de trabalho e na apropriação dos ganhos de produtividade advindos.","Em um contexto global heterogêneo, essa meta foca o desenvolvimento industrial dos países, advogando, explicitamente, o aumento significativo da participação da indústria no emprego e no PIB como forma de elevar a produtividade por meio da mudança estrutural. Entretanto, no caso específico do Brasil, como mostra o estudo ""Produtividade no Brasil: Desemprenho e Determinantes"" do Ipea, a produtividade da economia cresceu pouco não porque aumentou a participação de setores pouco produtivos na estrutura produtiva, mas sim porque a produtividade dentro dos setores econômicos cresceu pouco. Depreende-se, portanto, que o baixo crescimento da produtividade da economia brasileira, no período recente, está associado a outros fenômenos que não à mudança estrutural ocorrida. Isso significa que não foi essa mudança estrutural a responsável pelo baixo crescimento da produtividade. As causas para o baixo dinamismo da economia brasileira vão muito além da simples dicotomia indústria versus serviços. Tendo em vista esse contexto, a meta brasileira foi adequada para refletir de forma mais direta os reais desafios da economia brasileira, no sentido da elevação da produtividade, da complexidade tecnológica e das melhorias das condições de trabalho. Vale observar que o Grupo de Trabalho ampliou a abrangência da Meta Global para Atividades Econômicas como forma de incluir outros setores econômicos que também precisam ser contemplados em seus objetivos. Não obstante, os representantes do Ministério da Indústria, Comércio Exterior e Serviços registraram que a meta nacional deveria estar focada na indústria.","Produtividade - valor adicionado por trabalhador, nos diferentes setores. Estrutura produtiva - participação dos diferentes setores na economia brasileira. Inclusiva e sustentável - geração de maior valor adicionado por trabalhador, e melhora nas condições de trabalho e na apropriação dos ganhos de produtividade advindo, com minimização de impactos ambientais. Atividades de alta complexidade tecnológica são as chamadas indústrias de alta tecnologia e de serviços intensivos em conhecimentos. 1 1 As atividades econômicas que são consideradas de alta intensidade tecnológica são aquelas dos grupos ou divisões: 21, 26, 30.4,58, 59, 60, 61, 62, 63, 64, 65, 66, 69, 70, 71, 72, 73, 74, 75, Classificação Nacional de Atividades Econômicas (CNAE 2.0), definição adotada a partir de OCDE (2005:166) [OECD Science, Technology and Industry Scoreboard. Paris, 2005.].",9.2.1 - Valor adicionado da indústria em proporção do PIB e per capita 9.2.2 - Emprego na indústria em proporção do emprego total,https://www.ipea.gov.br/ods/ods9.html,2026-09-17
9.3,"Aumentar o acesso das pequenas indústrias e outras empresas, particularmente em países em desenvolvimento, aos serviços financeiros, incluindo crédito acessível e propiciar sua integração em cadeias de valor e mercados","Aumentar e desburocratizar o acesso das micro e pequenas empresas a todos os serviços financeiros, garantindo crédito em condições adequadas à realidade dessas empresas, inclusive por meio de soluções tecnológicas inovadoras, para propiciar sua integração em cadeias de valor e mercados.","A adequação da redação da meta ao Brasil considerou como um dos pontos a questão da tradução, uma vez que a terminologia ""pequenas indústrias e outras empresas"" não é usual no Brasil, sendo mais usual a expressão ""micro e pequenas empresas"". Houve ainda o entendimento de ser mais importante destacar a necessidade de garantir ""crédito em condições adequadas à realidade dessas empresas"". Além disso, considerou-se que, como a meta já fala em aumentar o acesso, ficaria redundante a expressão ""crédito acessível"". Houve ainda a preocupação de destacar no texto da meta a necessidade de acesso a todos os serviços financeiros, que incluiria, por exemplo, fundos e capital de risco; inclusive por meio de soluções tecnológicas inovadoras, de forma a contemplar Fintechs e outras soluções que possam surgir.","Os conceitos referentes à definição ao porte de micro e pequenas empresas estão estabelecidos na Lei Complementar 123/2006, utilizando como critério o faturamento de empresas, e na definição a partir do número de empregados, utilizada por órgãos governamentais. A ausência de estatísticas oficiais definidas por faturamento para a maior parte das estatísticas de empresas dificulta (e em alguns casos impede) a utilização de um único conceito. Do ponto de vista metodológico, o ideal seria a combinação dos dois critérios - faturamento e número de empregados. ""Soluções tecnológicas inovadoras"" são produtos da área de serviços financeiros com utilização intensiva de tecnologia.","9.3.1 - Proporção do valor adicionado das empresas de ""pequena escala"" no total do valor adicionado da indústria. 9.3.2 - Proporção de microempresas com empréstimos contraídos ou linhas de crédito",https://www.ipea.gov.br/ods/ods9.html,2026-09-17
9.4,"Até 2030, modernizar a infraestrutura e reabilitar as indústrias para torná-las sustentáveis, com eficiência aumentada no uso de recursos e maior adoção de tecnologias e processos industriais limpos e ambientalmente adequados; com todos os países atuando de acordo com suas respectivas capacidades","Até 2030, modernizar a infraestrutura e reabilitar as atividades econômicas para torná-las sustentáveis, com foco no uso de recursos renováveis e maior adoção de tecnologias e processos industriais limpos e ambientalmente adequados.","Conforme discutido na meta 9.2, a proposta de adequação da meta leva em consideração o estágio de desenvolvimento da economia brasileira e expande o conceito de ""industries"" para ""atividades econômicas"".",Reabilitar as atividades econômicas para torna-las mais sustentáveis - adoção de tecnologias e processos produtivos que levem a redução de poluentes e danos ambientais.,9.4.1 - Emissão de CO2 pelo PIB,https://www.ipea.gov.br/ods/ods9.html,2026-09-17
9.5,"Fortalecer a pesquisa científica, melhorar as capacidades tecnológicas de setores industriais em todos os países, particularmente nos países em desenvolvimento, inclusive, até 2030, incentivando a inovação e aumentando substancialmente o número de trabalhadores de pesquisa e desenvolvimento por milhão de pessoas e os gastos público e privado em pesquisa e desenvolvimento","Fortalecer a pesquisa científica e melhorar as capacidades tecnológicas das empresas, incentivando, até 2030, a inovação, visando aumentar o emprego do conhecimento científico e tecnológico nos desafios socioeconômicos nacionais e nas tecnologias socioambientalmente inclusivas; e aumentar a produtividade agregada da economia. a) Aumentar para 3.000 o número de trabalhadores de pesquisa e desenvolvimento por milhão de habitantes; b) Aumentar para 120.000 o número de técnicos e pesquisadores ocupados em P&D nas empresas; e c) Aumentar para 2,00% os gastos público e privado em pesquisa e desenvolvimento em relação ao PIB.","A adequação da redação da meta para o Brasil levou em consideração a redação original da ONU, que cita nominalmente o número de trabalhadores em pesquisa em desenvolvimento por milhão de pessoas e os gastos públicos e privados em pesquisa e desenvolvimento. Nesse sentido, sugere-se adaptar essa meta para os números atuais do Brasil constantes em pesquisas como a Pesquisa de Inovação Tecnológica (Pintec). Entretanto, reconhecendo que essas metas focam em inputs (insumos) de inovação, a proposta de meta baseia-se no reforço aos outputs (objetivos/resultados a serem alcançados), tendo como princípio que a ciência deve servir à sociedade. Assim, a meta proposta pretende priorizar os desafios socioeconômicos nacionais, as tecnologias socioambientalmente inclusivas, e o aumento da produtividade agregada da economia. A especificação da meta foi calcada na Estratégia Nacional de Ciência e Tecnologia e Inovação (ENCTI), elaborada pelo Ministério da Ciência, Tecnologia, Inovações e Comunicações.","Os conceitos relevantes à meta estão no manual de Oslo, que serve de base para as pesquisas de inovação como a Pesquisa de Inovação Tecnológica do IBGE em suas diferentes edições. Tecnologias socioambientalmente inclusivas são aquelas que consideram os critérios de sustentabilidade definidos pela ONU.",9.5.1 - Dispêndio em P&D em proporção do PIB 9.5.2 - Pesquisadores (em equivalência de tempo integral) por milhão de habitantes,https://www.ipea.gov.br/ods/ods9.html,2026-09-17
9.a,"Facilitar o desenvolvimento de infraestrutura sustentável e resiliente em países em desenvolvimento, por meio de maior apoio financeiro, tecnológico e técnico aos países africanos, aos países de menor desenvolvimento relativo, aos países em desenvolvimento sem litoral e aos pequenos Estados insulares em desenvolvimento",Meta mantida sem alteração.,A meta não necessita de adequação.,"Infraestrutura resiliente: infraestrutura capaz de voltar ao seu estado original após uma situação de estresse, como, por exemplo, o causado por desastres naturais.",9.a.1 - Total de apoio internacional oficial (ajuda oficial ao desenvolvimento e outros fluxos oficiais) à infraestrutura,https://www.ipea.gov.br/ods/ods9.html,2026-09-17
9.b,"Apoiar o desenvolvimento tecnológico, a pesquisa e a inovação nacionais nos países em desenvolvimento, inclusive garantindo um ambiente político propício para, entre outras coisas, diversificação industrial e agregação de valor às commodities","Apoiar o desenvolvimento tecnológico, a pesquisa e a inovação nacionais, por meio de políticas públicas que assegurem um ambiente institucional e normativo favorável para, entre outras coisas, promover a diversificação industrial e a agregação de valor às commodities.","A proposta de adequação da meta procurou definir o que a ONU chamou de ""garantindo um ambiente político propício"", que no entendimento do Brasil significaria ""por meio de políticas públicas que assegurem um ambiente institucional e normativo favorável"". O entendimento é que a meta pretende garantir o efetivo funcionamento do sistema de inovação, desta forma, avaliou-se não ser possível quantificá-la.","Ambiente institucional e normativo favorável: no caso brasileiro, ambiente institucional e normativo favorável pode ser entendido como diversificar o sistema de C&T&I, não só por meio de novas políticas e instrumentos, mas também de novos modelos institucionais e de novas instituições; ampliar o investimento público em P&D orientado a resultados; internacionalizar mais a ciência brasileira, com maior fluxo de pessoas e ideias, aumentar a segurança jurídica, entre outras ações necessárias à consolidação do sistema de inovação.",9.b.1 - Proporção do valor adicionado nas indústrias de média e alta intensidade tecnológica no valor adicionado total,https://www.ipea.gov.br/ods/ods9.html,2026-09-17
9.c,"Aumentar significativamente o acesso às tecnologias de informação e comunicação e empenhar-se para procurar ao máximo oferecer acesso universal e a preços acessíveis à internet nos países menos desenvolvidos, até 2020","Aumentar significativamente o acesso às tecnologias de informação e comunicação e empenhar-se para oferecer acesso universal e a preços acessíveis à internet, até 2020, buscando garantir a qualidade, a privacidade, a proteção de dados e a segurança cibernética.","A adequação da redação da meta apenas procurou destacar aspectos que já são considerados pelo Brasil na política nacional para tecnologias de informação e comunicação, que busca garantir a qualidade, privacidade, proteção de dados e segurança cibernética. Retirou-se a expressão ""procurar ao máximo"" por entender que o empenho para ""oferecer acesso universal"" já é suficiente para expressar a busca por universalização.","1. Privacidade e proteção de dados: assegurar ""aos usuários alguns direitos, em especial a necessidade de consentimento sobre coleta, tratamento e fornecimento a terceiros de seus dados pessoais, salvo hipóteses previstas em lei; a transparência sobre esse tratamento, que só poderá ocorrer para finalidades justificáveis e específicas; e a livre disposição desse consentimento, salvo os casos de guarda obrigatória legalmente previstos"" (MCTIC, 2018, p. 37-8). 2 2. Segurança cibernética: evitar a realização de ""ações ilícitas voltadas à obtenção de vantagens indevidas por meio da exploração de brechas de segurança em dispositivos e softwares"" (MCTIC, 2018, p. 41). 2 MCTIC. (2018). Estratégia Brasileira para a Transformação Digital - E-Digital. Brasília.","9.c.1 - Proporção da população coberta por rede móvel, por tipo de tecnologia",https://www.ipea.gov.br/ods/ods9.html,2026-09-17
